AÑO,EQUIPO_LOCAL,VICTORIAS,DERROTAS,EMPATES,LOCAL_GOL,LOCAL_GOL_HT,LOCAL_AMARILLA,LOCAL_ROJA,LOCAL_TIRO_ARCO
2014,Swansea,10,7,3,32,14,26,3,95
2014,Tottenham,11,6,2,30,16,29,2,80
2014,West Brom,4,7,9,26,11,37,0,81
2014,West Ham,11,7,1,28,16,26,2,76
2015,Arsenal,13,2,4,38,24,21,0,130
2015,Aston Villa,3,11,5,17,10,27,1,73
2015,Bournemouth,2,3,4,10,6,15,0,42
2015,Burnley,2,4,3,7,6,13,0,42
2015,Chelsea,10,4,6,29,17,39,2,105
2015,Crystal Palace,8,9,3,23,10,34,1,89
2015,Everton,7,6,7,33,15,29,0,93
2015,Hull,4,4,2,11,8,16,0,50
2015,Leicester,11,4,4,32,16,21,1,90
2015,Liverpool,10,4,4,28,12,27,2,93
2015,Man City,16,3,1,56,26,33,0,153
2015,Man United,10,3,5,29,14,23,0,80
2015,Newcastle,4,9,7,27,12,35,1,72
2015,Norwich,3,3,3,11,4,13,0,35
2015,QPR,1,6,2,6,1,19,0,38
2015,Southampton,9,6,4,32,16,27,2,99
2015,Stoke,10,6,3,31,21,30,2,77
2015,Sunderland,5,9,4,15,7,33,2,54
2015,Swansea,6,6,7,21,10,27,0,69
2015,Tottenham,11,3,5,38,17,41,0,125
2015,Watford,4,4,2,10,5,20,2,37
2015,West Brom,8,8,3,23,11,33,3,71
2015,West Ham,6,5,7,24,8,21,2,89
2016,Arsenal,12,3,4,35,17,23,2,105
2016,Aston Villa,2,6,2,8,2,20,1,31
2016,Bournemouth,8,9,2,29,12,20,0,84
2016,Burnley,7,3,1,19,10,20,0,44
2016,Chelsea,10,2,7,45,18,33,2,103
2016,Crystal Palace,4,12,2,19,9,30,0,78
2016,Everton,7,5,6,25,13,28,2,90
2016,Hull,2,5,3,11,3,16,1,33
2016,Leicester,12,2,6,35,18,23,1,80
2016,Liverpool,11,1,7,48,25,20,0,133
2016,Man City,9,4,5,35,14,20,3,97
2016,Man United,13,2,5,33,17,35,1,121
2016,Middlesbrough,3,5,1,9,5,16,0,26
2016,Newcastle,5,1,3,18,8,15,1,58
2016,Norwich,3,5,2,15,6,16,0,33
2016,Southampton,11,4,4,32,13,23,4,91
2016,Stoke,7,6,6,23,8,31,1,71
2016,Sunderland,7,7,5,25,9,32,1,78
2016,Swansea,7,8,4,25,11,34,1,77
2016,Tottenham,12,2,4,36,12,24,0,143
2016,Watford,6,6,6,24,6,44,1,71
2016,West Brom,7,6,5,24,13,25,0,60
2016,West Ham,10,4,5,29,14,38,1,88
2017,Arsenal,16,2,2,45,15,33,2,147
2017,Bournemouth,7,8,6,33,14,32,2,92
2017,Brighton,3,2,5,10,2,19,0,30
2017,Burnley,8,6,4,14,6,30,0,53
2017,Chelsea,16,3,1,48,22,24,3,144
2017,Crystal Palace,7,9,5,26,10,44,0,88
2017,Everton,15,4,1,47,16,34,1,102
2017,Huddersfield,4,3,4,10,7,16,2,36
2017,Hull,6,2,1,17,5,16,1,36
2017,Leicester,9,7,3,28,13,25,2,79
2017,Liverpool,11,2,8,40,17,23,0,140
2017,Man City,15,0,5,56,17,32,2,143
2017,Man United,11,1,8,34,14,33,0,101
2017,Middlesbrough,1,4,5,8,4,22,0,33
2017,Newcastle,3,6,2,9,4,19,2,40
2017,Southampton,5,8,7,20,9,21,0,86
2017,Stoke,8,7,5,26,15,23,1,77
2017,Sunderland,0,6,4,5,3,20,1,35
2017,Swansea,8,8,3,19,8,29,0,64
2017,Tottenham,16,1,3,49,23,19,0,142
2017,Watford,7,9,5,25,12,47,3,70
2017,West Brom,6,8,7,21,11,39,0,81
2017,West Ham,6,9,4,20,5,45,1,62
2018,Arsenal,14,2,3,49,17,36,1,117
2018,Bournemouth,9,5,4,28,12,35,1,78
2018,Brighton,9,4,6,29,15,39,2,72
2018,Burnley,5,10,4,21,12,29,0,70
2018,Cardiff,4,5,1,13,5,19,0,34
2018,Chelsea,9,3,6,28,15,19,0,113
2018,Crystal Palace,6,8,4,20,11,21,1,78
2018,Everton,9,4,6,29,10,17,0,67
2018,Fulham,3,4,3,12,7,18,1,56
2018,Huddersfield,3,12,3,10,6,20,2,50
2018,Leicester,7,6,6,24,10,28,2,91
2018,Liverpool,15,0,3,51,23,16,0,123
2018,Man City,16,2,1,60,27,17,0,145
2018,Man United,13,2,3,35,20,30,1,114
